sl,court,court_code,reference_date,total_pending,pending_5plus,rate_5plus_pct
1,District & Session Judge (All),DSJ,2025-09,1881,75,4.0
2,CJM (Total),CJM,2025-09,11478,79,0.7
3,CMM (Total),CMM,2025-09,10356,358,3.5
4,Nari o Shishu Tribunal,NOS,2025-09,3564,77,2.2
5,Human Trafficking Tribunal,HTT,2025-09,58,1,1.7
6,Jana Nirapotta & Special Session Judge,JNSSJ,2025-09,112,19,17.0
7,Metropolitan Sessions Court (All),MSC,2025-09,2536,80,3.2
8,Cyber Tribunal,CT,2025-09,422,12,2.8
9,Anti-Terrorism,AT,2025-09,0,0,0.0
10,Divisional Special Judge,DSPecJ,2025-09,172,84,48.8
