court_code,case_type_category,case_count
NOS,Nari O Shishu Act,34
CMM,Special Laws,30
CMM,Homicide / Attempt,21
CMM,Forgery / Fraud,18
CMM,Theft / Robbery,13
CMM,Unclassified,13
CMM,Assault / Hurt,2
CMM,Other / Unclassified,2
CMM,Rioting / Unlawful Assembly,1
ACJM,Unclassified,93
ACJM,Homicide / Attempt,6
ACJM,Assault / Hurt,1
ACMM,Unclassified,91
ACMM,Special Laws,9
CJM,Unclassified,92
CJM,Forgery / Fraud,4
CJM,Homicide / Attempt,3
CJM,Assault / Hurt,1
DJ,Unclassified,94
DJ,Special Laws,4
DJ,Other / Unclassified,2
JM2,Unclassified,98
JM2,Homicide / Attempt,2
